XTSOL;p_model;p_stock;p_sorting;p_shipping;p_tpl;p_manufacturer;p_fsk18;p_priceNoTax;p_priceNoTax.1;p_priceNoTax.2;p_priceNoTax.3;p_priceNoTax.4;p_priceNoTax.5;p_priceNoTax.6;p_groupAcc.0;p_groupAcc.1;p_groupAcc.2;p_groupAcc.3;p_groupAcc.4;p_groupAcc.5;p_groupAcc.6;p_tax;p_status;p_weight;p_ean;p_man;p_disc;p_opttpl;p_vpe;p_vpe_status;p_vpe_value;p_image.1;p_image.2;p_image.3;p_image;p_name.de;p_desc.de;p_shortdesc.de;p_orderdesc.de;p_meta_title.de;p_meta_desc.de;p_meta_key.de;p_keywords.de;p_url.de;p_name.en;p_desc.en;p_shortdesc.en;p_orderdesc.en;p_meta_title.en;p_meta_desc.en;p_meta_key.en;p_keywords.en;p_url.en;p_cat.0;p_cat.1;p_cat.2;p_cat.3
XTSOL;502080;89254;20;1;default;;0;0.0000;1:1.2000::100:0.9800;1:1.2000::100:0.9800;1:1.2000::100:0.9800;1:1.2000::100:0.9800;1:1.2000::100:0.9800;1:1.2000::100:0.9800;1;1;1;1;1;1;1;1;1;0.0550;4251864505002;;0.00;default;0;0;0.0000;1_1.png;1_2.png;;1_0.jpg;2.2 x 80 mm Kabelbinder, natur, 100 Stück;"<table border=""0"" cellpadding=""1"" cellspacing=""1"" height=""67"" width=""348"">	<tbody>		<tr>			<td><strong>Farbe:</strong></td>			<td>natur</td>		</tr>		<tr>			<td><strong>Material:</strong></td>			<td>Polyamid 6.6 , halogenfrei</td>		</tr>		<tr>			<td><strong>Zugkraft:</strong></td>			<td>5,1 kg</td>		</tr>		<tr>			<td><strong>Max. Bündeldurchmesser:</strong></td>			<td>14 mm</td>		</tr>		<tr>			<td><strong>Min. Bündeldurchmesser:</strong></td>			<td>0,2 mm</td>		</tr>		<tr>			<td><strong>Temperaturbeständigkeit:</strong></td>			<td>-40 °C bis +85 °C</td>		</tr>		<tr>			<td><strong>Min. Installationstemperatur:</strong></td>			<td>-10 °C</td>		</tr>		<tr>			<td><strong>Zulassungen:</strong></td>			<td>RoHS-konform</td>		</tr>		<tr>			<td>&nbsp;</td>			<td>UL94 V-2</td>		</tr>		<tr>			<td><strong>Verpackungseinheit:</strong></td>			<td>100 Stück</td>		</tr>	</tbody></table>v<p><img alt="""" height=""50"" src=""/images/logos/logo-rohs-klein.png"" width=""50"" /><img alt="""" height=""50"" src=""https://www.kabelbinder-discount.de/images/logos/UL_Logo.png"" width=""75"" /></p>";;;Kabelbinder 2,2 x 80 mm, natur 100 Stück;Kabelbinder natur sind die perfekte Wahl, wenn die Kabelbefestigung eher unauffällig sein soll. Trotzdem bieten sie bombenfesten und verlässlichen Halt.;kabelbinder, kabelbinder kunststoff, breite kabelbinder, kabelbinderkaufen, kabelbinder 80mm, kabelbinder natur;2,2 x 80 mm Kabelbinder, natur;;2.2 x 80 mm cable ties, natural, 100 pieces;"<table border=""0"" cellpadding=""1"" cellspacing=""1"" height=""67"" width=""348"">	<tbody>		<tr>			<td><strong>Colour:</strong></td>			<td>natural</td>		</tr>		<tr>			<td><strong>Material:</strong></td>			<td>polyamide 6.6, halogen-free</td>		</tr>		<tr>			<td><strong>Tensile strength:</strong></td>			<td>5,1 kg</td>		</tr>		<tr>			<td><strong>Max. bundle diameter:</strong></td>			<td>14 mm</td>		</tr>		<tr>			<td><strong>Min. bundle diameter:</strong></td>			<td>0,2 mm</td>		</tr>		<tr>			<td><strong>Operating temperature:</strong></td>			<td>-40 °C to +85 °C</td>		</tr>		<tr>			<td><strong>Min. installation temperature:</strong></td>			<td>-10 °C</td>		</tr>		<tr>			<td><strong>Approvals:</strong></td>			<td>UL94 V-2</td>		</tr>		<tr>			<td>&nbsp;</td>			<td>RoHS-compliant</td>		</tr>		<tr>			<td><strong>Packing unit:</strong></td>			<td>100 pieces</td>		</tr>	</tbody></table>&nbsp;<p><img alt="""" height=""50"" src=""/images/logos/logo-rohs-klein.png"" width=""50"" /><img alt="""" height=""50"" src=""https://www.kabelbinder-discount.de/images/logos/UL_Logo.png"" width=""75"" /></p>";;;;;;;;Kabelbinder;Natur;;
XTSOL;502160;82568;45;1;default;;0;0.0000;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1:0.8900::50:0.7600::100:0.7300::200:0.6500::400:0.5700::800:0.5400;1;1;1;1;1;1;1;1;1;0.0750;4251864505071;;0.00;default;0;0;0.0000;2_1.jpg;2_2.png;;2_0.jpg;2.6 x 160 mm Kabelbinder, natur, 100 Stück;"<table border=""0"" cellpadding=""1"" cellspacing=""1"" height=""67"" width=""348"">	<tbody>		<tr>			<td><strong>Farbe:</strong></td>			<td>natur</td>		</tr>		<tr>			<td><strong>Material:</strong></td>			<td>Polyamid 6.6 , halogenfrei</td>		</tr>		<tr>			<td><strong>Zugkraft:</strong></td>			<td>8,2 kg</td>		</tr>		<tr>			<td><strong>Max. Bündeldurchmesser:</strong></td>			<td>40 mm</td>		</tr>		<tr>			<td><strong>Min. Bündeldurchmesser:</strong></td>			<td>1,0 mm</td>		</tr>		<tr>			<td><strong>Temperaturbeständigkeit:</strong></td>			<td>-40 °C bis +85 °C</td>		</tr>		<tr>			<td><strong>Min. Installationstemperatur:</strong></td>			<td>-10 °C</td>		</tr>		<tr>			<td><strong>Zulassungen:</strong></td>			<td>RoHS-konform</td>		</tr>		<tr>			<td>&nbsp;</td>			<td>UL94 V-2</td>		</tr>		<tr>			<td><strong>Verpackungseinheit:</strong></td>			<td>100 Stück</td>		</tr>	</tbody></table>&nbsp;<p><img alt="""" height=""50"" src=""/images/logos/logo-rohs-klein.png"" width=""50"" /><img alt="""" height=""50"" src=""https://www.kabelbinder-discount.de/images/logos/UL_Logo.png"" width=""75"" /></p>";;;Kabelbinder 2,6 x 160 mm, natur 100 Stück;Kabelbinder natur sind die perfekte Wahl, wenn die Kabelbefestigung eher unauffällig sein soll. Trotzdem bieten sie bombenfesten und verlässlichen Halt.;kabelbinder, kabelbinder kunststoff, breite kabelbinder, kabelbinderkaufen, kabelbinder 160mm, kabelbinder natur;2,6 x 160 mm Kabelbinder, natur;;2.6 x 160 mm cable ties, natural, 100 pieces;"<table border=""0"" cellpadding=""1"" cellspacing=""1"" height=""67"" width=""348"">	<tbody>		<tr>			<td><strong>Colour:</strong></td>			<td>natural</td>		</tr>		<tr>			<td><strong>Material:</strong></td>			<td>polyamide 6.6, halogen-free</td>		</tr>		<tr>			<td><strong>Tensile strength:</strong></td>			<td>8,2 kg</td>		</tr>		<tr>			<td><strong>Max. bundle diameter:</strong></td>			<td>40 mm</td>		</tr>		<tr>			<td><strong>Min. bundle diameter:</strong></td>			<td>1,0 mm</td>		</tr>		<tr>			<td><strong>Operating temperature:</strong></td>			<td>-40 °C to +85 °C</td>		</tr>		<tr>			<td><strong>Min. installation temperature:</strong></td>			<td>-10 °C</td>		</tr>		<tr>			<td><strong>Approvals:</strong></td>			<td>UL94 V-2</td>		</tr>		<tr>			<td>&nbsp;</td>			<td>RoHS-compliant</td>		</tr>		<tr>			<td><strong>Packing unit:</strong></td>			<td>100 pieces</td>		</tr>	</tbody></table>&nbsp;<p><img alt="""" height=""50"" src=""/images/logos/logo-rohs-klein.png"" width=""50"" /><img alt="""" height=""50"" src=""https://www.kabelbinder-discount.de/images/logos/UL_Logo.png"" width=""75"" /></p>";;;;;;;;Kabelbinder;Natur;;
